event_name,purpose,trigger,parameters,ga4_key_event,consent_required,deduplication,privacy_notes,testing_steps
page_context,"Populate internal GTM page variables without sending a GA4 event","Once per page after analytics consent","page_name; page_type; content_group; page_language; page_path; debug_mode","No","Yes","One push per page view","Internal setup event; excluded from the GA4 custom-event trigger","Grant analytics consent; inspect the data layer; confirm no GA4 event tag fires for page_context"
cta_click,"Measure meaningful consultation, treatment and content calls to action","Click on an explicitly annotated CTA","cta_text; cta_url; cta_location; cta_purpose; page_name; page_type; content_group","No","Yes","One delegated click handler and one priority classification","Only fixed public button text and query-free internal paths","Use GTM Preview; click one hero and one body CTA; confirm one event per click"
contact_click,"Measure deliberate contact-channel use","Click on WhatsApp, telephone or email links","contact_method; link_text; link_location; page_name; page_type","No","Yes","Contact classification takes priority over outbound and CTA","Telephone numbers, email addresses and WhatsApp query text are never sent","Test WhatsApp, telephone and email links; confirm method only and no destination value"
social_click,"Measure visits to confirmed social profiles","Click on an explicitly classified social link","social_network; link_location; page_name","No","Yes","Social classification takes priority over outbound","No profile query string or personal value is sent","Click Instagram in the top bar and footer; confirm one social_click each"
outbound_click,"Measure genuine external destinations not classified elsewhere","Click on an external HTTP(S) link","link_domain; link_text; link_location; page_name","No","Yes","Priority classifier excludes contact, social and downloads","Only hostname and fixed public link text are sent; full URLs and queries are excluded","Click the Google Reviews link; confirm outbound_click only"
file_download,"Measure intentional document downloads","Click on a link ending in a supported document extension","file_name; file_extension; link_location; page_name","No","Yes","Download classification takes priority over outbound","No image loads or query strings are tracked","Add or use a test PDF link; click once; confirm file_download only"
language_change,"Measure intentional English/Portuguese switches","Click on a real data-lang language link to the other language","from_language; to_language; page_name","No","Yes","No event when the target language equals the current language","Language codes only","Use the top-bar switcher in both directions; confirm no event on initial page load"
form_start,"Measure meaningful form engagement","First focus, input or change on a non-hidden field","form_name; form_type; page_name","No","Yes","WeakSet allows one event per form per page","No field name, value, contact detail, message or health information is read","Focus two fields in each form; confirm exactly one form_start"
form_submit,"Measure a valid confirmed submission attempt","Custom lifecycle event after validation and endpoint availability","form_name; form_type; page_name","No","Yes","Form code emits once while loading state blocks repeat submission","No FormData or field values enter the event","Try invalid submit first; then complete a test form; confirm form_submit only for the valid attempt"
form_error,"Measure client or server submission problems safely","Custom validation, endpoint or fetch failure lifecycle event","form_name; form_type; error_type; error_count; page_name","No","Yes","One event per known failed attempt","Only coarse error type and count; no invalid contents or server response body","Submit empty required fields and simulate a failed endpoint; inspect safe parameters"
form_success,"Confirm the form backend accepted a submission","Successful Formspree HTTP response or legitimate pending thank-you fallback","form_name; form_type; page_name","No","Yes","Session lead record prevents fallback repetition","No submitted values are sent","Mock or perform a successful test; confirm one success and no repeat on refresh"
generate_lead,"Count a confirmed contact or consultation lead","Confirmed contact/consultation success only","form_name; form_type; lead_type; method; page_name","Yes","Yes","Short-lived random session token; generated flag survives refresh/back navigation","Token is never sent and contains no form data; accessibility feedback is not treated as a lead","Confirm one lead after success; visit/refresh thank-you; verify no duplicate; direct thank-you must produce none"
faq_open,"Measure engagement with fixed public questions","First meaningful open of each annotated details item per page","faq_question; faq_position; page_name","No","Yes","WeakSet fires each item at most once per page","Question is fixed public content; no user-entered text","Open, close and reopen one FAQ; confirm one event; open another and confirm its position"
section_view,"Measure considered visibility of meaningful content sections","IntersectionObserver at 15% plus 800 ms visibility","section_id; section_name; section_number; page_name; page_type","No","Yes","Set fires each annotated section once per page","Fixed heading and structural identifiers only","Slowly scroll a long page; confirm each visible section fires once after the dwell threshold"
scroll_depth,"Measure reading depth at custom milestones","Viewport reaches 25%, 50%, 75% or 90% document depth","scroll_percent; page_name; page_type","No","Yes","Set fires each threshold once; GA4 automatic scroll must be disabled","Coarse percentage only","Scroll down and back up; confirm each threshold appears once"
engagement_time,"Measure active visible-page attention","30, 60 and 120 seconds of focused visible-tab time","engagement_seconds; page_name; page_type","No","Yes","Set fires each threshold once; counter pauses without consent, focus or visibility","No identity, input or background-tab time","Keep tab focused for 30 seconds; hide it during another test; verify paused counting"
field_performance,"Collect one privacy-safe field performance snapshot","Five seconds after window load or after later analytics consent","lcp_ms; cls_score; inp_ms; ttfb_ms; dom_content_loaded_ms; page_load_ms; page_name; page_type","No","Yes","One consolidated event per page","Rounded browser performance numbers only","Grant consent; wait at least five seconds; confirm finite numeric values and one event"
javascript_error,"Detect limited technical failures without collecting messages","Runtime error, unhandled rejection or resource load error","error_type; script_name; line_bucket; page_name","No","Yes","Identical keys deduplicated and capped at five events per page","No message, stack, query string, page HTML or form value","Throw a controlled test error with debug enabled; verify only type, basename and line bucket"
consent_update,"Measure granted analytics preference changes","Existing cookie controls grant analytics consent or update preferences while granted","analytics_consent; preferences_consent; consent_source; page_name","No","Yes","One site consent event feeds one analytics bridge; denied choices are not GA events in basic mode","Category states and fixed source only; GTM stays unloaded for rejection","Reject first and verify no GTM request; grant analytics and confirm one consent_update before GTM initialization"
